Trial_number,Block_number,InteractionType,ComputerChoice,Payoffmatrix,ExchangePos,v1,v2,v3,v4,v5,v6,v7,v8,card1_D,card1_A,card2_D,card2_A,card3_D,card3_A,card4_D,card4_A,card_seq,card_type,ITItime,group_pa,group_pb,group_pc,group_pd,group_pe,group_pf,group_pg,group_ph,S1_choice_pe,S2_choice_pe,S1_choice_pf,S2_choice_pf,S1_choice_pg,S2_choice_pg,S1_choice_ph,S2_choice_ph
1,1,CoCm,X,C1,1,2,3,1,4,3,2,4,1,1,2,2,3,1,3,1,2,3,3213,7,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
2,1,CoCm,X,C1,1,2,3,1,4,3,2,4,1,2,4,3,2,2,4,1,2,,,8,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
3,1,CoCm,X,C1,1,2,3,1,4,3,2,4,1,2,1,2,4,3,2,3,3,,,6,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
4,1,CoCm,X,C1,0,2,3,1,4,3,2,4,1,1,1,1,3,4,3,1,4,,,7,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
5,1,CoCm,X,C1,0,2,3,1,4,3,2,4,1,3,1,1,4,2,4,2,4,,,6,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
6,1,CoCm,X,C1,0,2,3,1,4,3,2,4,1,1,1,2,3,3,2,3,3,,,4,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
7,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,3,2,1,3,3,4,2,2,2,2132,5,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
8,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,1,1,3,4,2,2,4,3,,,8,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
9,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,3,2,4,2,2,4,1,1,,,6,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
10,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,2,1,3,2,4,3,2,1,,,4,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
11,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,1,2,3,4,3,2,1,3,,,6,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
12,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,4,1,2,2,2,3,3,2,,,5,1,2,3,4,5,6,7,8,1,1,2,2,3,3,4,4
13,3,Coop,R1,C2,0,3,4,2,1,1,2,4,3,2,2,1,1,2,3,3,4,1,1321,5,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
14,3,Coop,R1,C2,0,3,4,2,1,1,2,4,3,1,3,1,4,3,4,2,4,,,6,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
15,3,Coop,R1,C2,0,3,4,2,1,1,2,4,3,3,1,4,2,3,1,2,3,,,8,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
16,3,Coop,R1,C2,1,3,4,2,1,1,2,4,3,1,1,4,3,4,2,1,4,,,4,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
17,3,Coop,R1,C2,1,3,4,2,1,1,2,4,3,1,4,1,1,1,4,1,3,,,7,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
18,3,Coop,R1,C2,1,3,4,2,1,1,2,4,3,4,1,4,4,3,1,1,4,,,0,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
19,4,Coop,R1,C1,0,2,3,1,4,3,2,4,1,1,2,4,1,1,1,4,4,3,,7,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
20,4,Coop,R1,C1,0,2,3,1,4,3,2,4,1,3,3,4,4,1,4,2,4,,,8,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
